botanical_entry_id,botanical_name,duplicate_name_group,duplicate_name_count,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat,kombucha_1f_friendly_flag,tea_friendly_flag,bitters_friendly_flag,cordial_friendly_flag,fresh_produce_friendly_flag,preserve_friendly_flag,cosmetic_friendly_flag,source_table,source_row
BOT-BR-0011,Acerola — BRS 236 Cereja,acerola_brs_236_cereja,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar (Cereja).,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,12
BOT-BR-0012,Acerola — BRS 237 Roxinha,acerola_brs_237_roxinha,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar (Roxinha).,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,13
BOT-BR-0013,Acerola — BRS 238 Frutacor,acerola_brs_238_frutacor,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar (Frutacor).,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,14
BOT-BR-0014,Acerola — BRS 366 Jaburu,acerola_brs_366_jaburu,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar (Jaburu).,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,15
BOT-BR-0015,Acerola — BRS Cabocla,acerola_brs_cabocla,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar selected for processing quality.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,16
BOT-BR-0016,Acerola — BRS Rubra,acerola_brs_rubra,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Brazilian acerola cultivar released for fresh market quality.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,17
BOT-BR-0017,Acerola — BRS Sertaneja,acerola_brs_sertaneja,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar selected for juice and vitamin C value.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,18
BOT-BR-0018,Acerola — Okinawa,acerola_okinawa,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Widely grown acerola cultivar used in Brazil.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,19
BOT-BR-0019,Alfavaca-cravo,alfavaca_cravo,1,Leaf,Year-round,Secondary only,Tea;Tincture;Extract;Tonic,Aromatic;Digestive;Medicinal,Fresh;Dried;Extract,Bioactive compounds,Brazil-first medicinal screening row; use needs formulation review.,,,,,Aromatic;antimicrobial tendency,,,,,Well-drained;organic matter,Managed cultivation;part sun to full sun,Cultivated beds;forest edge;secondary vegetation,False,True,True,True,False,False,False,Botanicals_Master,20
BOT-BR-0020,Amburana-de-cheiro,amburana_de_cheiro,1,Bark;Seed;Wood,Summer;Autumn,Secondary only,Medicinal;Aromatic;Wood,Aromatic;Traditional medicine,Bark;Seed;Extract,Coumarin-rich aromatic compounds,Dry-forest tree with medicinal and timber value; conservation-sensitive.,,,,,Aromatic;traditional respiratory use,,,,,Deep well-drained soils,Full sun;agroforestry;forest systems,Forest;managed agroforestry,False,True,True,True,False,False,True,Botanicals_Master,21
BOT-BR-0021,Andiroba,andiroba,1,Seed;Bark;Oil;Resin,Summer;Autumn,Secondary only,Oil;Extract;Medicinal;Cosmetic,Medicinal;Cosmetic;Functional extract,Oil;Resin;Extract,Secondary metabolites,Amazon tree with strong cosmetic and medicinal oil value.,,,,,Anti-inflammatory;functional,,,,,Deep well-drained soils,Full sun;agroforestry;forest systems,Forest;managed agroforestry,False,True,True,False,False,False,True,Botanicals_Master,22
BOT-BR-0022,Araticum,araticum,1,Fruit;Pulp,Summer,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,23
BOT-BR-0023,Araucária / Pinhão,araucaria_pinhao,1,Seed;Wood,Summer;Autumn,Secondary only,Nut;Restoration;Heritage food,Food;Heritage;Restoration,Seed;Fresh nut,Starch;minerals,Paraná pine; strong heritage food value from pinhão and major conservation importance.,,,,,Nutritional;heritage species,,,,,Deep well-drained soils,Full sun;agroforestry;forest systems,Forest;managed agroforestry,False,True,True,False,False,False,True,Botanicals_Master,24
BOT-BR-0024,Araçá,araca,1,Fruit;Pulp,Spring;Summer,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,25
BOT-BR-0025,Araçá-boi,araca_boi,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,26
BOT-BR-0026,Arnica-do-campo,arnica_do_campo,1,Leaf;Flower,Year-round,Secondary only,Tea;Tincture;Extract;Tonic,Topical medicinal,Fresh;Dried;Extract,Bioactive compounds,Brazil-first medicinal screening row; use needs formulation review.,,,,,Anti-inflammatory tendency,,,,,Well-drained;organic matter,Managed cultivation;part sun to full sun,Cultivated beds;forest edge;secondary vegetation,False,True,True,False,False,False,False,Botanicals_Master,27
BOT-BR-0027,Aroeira-do-sertão,aroeira_do_sertao,1,Bark;Wood,Summer;Autumn,Secondary only,Medicinal;Restoration;Wood,Medicinal;timber,Bark;Extract,Tannins;polyphenols,Dry-forest medicinal/timber tree often flagged in conservation discussions.,,,,,Astringent;anti-inflammatory tendency,,,,,Deep well-drained soils,Full sun;agroforestry;forest systems,Forest;managed agroforestry,False,True,True,False,False,False,True,Botanicals_Master,28
BOT-BR-0028,Açaí,acai,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Flagship Amazon fruit and pulp crop with strong domestic and export demand.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,29
BOT-BR-0029,Açaí — BRS Pai d’Égua,acai_brs_pai_degua,1,Fruit;Pulp,Autumn;Winter,Primary OK,Fresh pulp;frozen pulp;nutraceutical,Off-season production;Pulp yield,Fresh;Frozen pulp,Anthocyanins;lipids,Embrapa cultivar for irrigated terra firme with stronger off-season output.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,30
BOT-BR-0030,Açaí — BRS Pará,acai_brs_para,1,Fruit;Pulp,Autumn;Winter,Primary OK,Fresh pulp;frozen pulp;nutraceutical,Yield;Pulp output;Early bearing,Fresh;Frozen pulp,Anthocyanins;lipids,Official Embrapa cultivar for terra firme; early and productive.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,31
BOT-BR-0031,Açaí-solteiro,acai_solteiro,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,32
BOT-BR-0032,Babassu,babassu,1,Kernel;Mesocarp,Winter;Spring,Secondary only,Oil;Flour;Cosmetic;Food ingredient,Oil;Fiber;Income,Oil;Flour,Lipids;fiber,Multipurpose palm with strong social and extractive value chains.,,,,,Nutritional;cosmetic use,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,False,False,True,True,True,True,True,Botanicals_Master,33
BOT-BR-0033,Bacaba,bacaba,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,34
BOT-BR-0034,Bacuri,bacuri,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,35
BOT-BR-0035,Banana — BRS Garantida,banana_brs_garantida,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa Prata-group disease-resistant cultivar.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,36
BOT-BR-0036,Banana — BRS Japira,banana_brs_japira,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa Prata-group disease-resistant cultivar.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,37
BOT-BR-0037,Banana — BRS Pacovan Ken,banana_brs_pacovan_ken,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa Pacovan-derived cultivar with disease resistance.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,38
BOT-BR-0038,Banana — BRS Platina,banana_brs_platina,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa Prata-group cultivar resistant to major diseases.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,39
BOT-BR-0039,Banana — BRS Preciosa,banana_brs_preciosa,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa Prata-group disease-resistant cultivar.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,40
BOT-BR-0040,Banana — BRS Princesa,banana_brs_princesa,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa apple-type cultivar with disease resistance.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,41
BOT-BR-0041,Banana — BRS Tropical,banana_brs_tropical,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Embrapa apple-type cultivar tolerant to Fusarium wilt.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,42
BOT-BR-0042,Banana — Maçã,banana_maca,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Apple-type banana with premium sensory profile.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,43
BOT-BR-0043,Banana — Nanica,banana_nanica,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Cavendish-type dessert banana in Brazilian trade.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,44
BOT-BR-0044,Banana — Nanicão,banana_nanicao,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Large Cavendish-type dessert banana in Brazilian trade.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,45
BOT-BR-0045,Banana — Pacovan,banana_pacovan,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Traditional Prata-type banana important in Northeast Brazil.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,46
BOT-BR-0046,Banana — Prata-Anã,banana_prata_ana,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Traditional Brazilian Prata-type banana widely grown in Brazil.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,47
BOT-BR-0047,Banana — Terra,banana_terra,1,Fruit,Year-round,Primary OK,Fresh market;Processing;Dessert / cooking,Yield;Shelf life;Disease package,Fresh;Processed,Potassium;carbohydrates,Plantain-type banana for cooking and processing.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,48
BOT-BR-0048,Bananeira,bananeira,1,Fruit;Pulp,Year-round,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,49
BOT-BR-0049,Barbatimão,barbatimao,1,Bark,Year-round,Secondary only,Tea;Tincture;Extract;Tonic,Astringent;Topical;Medicinal,Fresh;Dried;Extract,Bioactive compounds,Brazil-first medicinal screening row; use needs formulation review.,,,,,Astringent;antimicrobial tendency,,,,,Well-drained;organic matter,Managed cultivation;part sun to full sun,Cultivated beds;forest edge;secondary vegetation,False,True,True,False,False,False,False,Botanicals_Master,50
BOT-BR-0050,Baru,baru,1,Seed;Nut,Winter;Spring,Secondary only,Nut;Snack;Oil;Flour,Protein;Oil;Flavor,Whole nut;Roasted;Flour;Oil,Protein;Lipids;Minerals,High-value Cerrado nut tree; strong food innovation and premium ingredient potential.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,False,False,True,True,True,True,True,Botanicals_Master,51
BOT-BR-0051,Biribá,biriba,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,52
BOT-BR-0052,Boldo-baiano,boldo_baiano,1,Leaf,Year-round,Secondary only,Tea;Tincture;Extract;Tonic,Digestive;Medicinal;Bitter,Fresh;Dried;Extract,Bioactive compounds,Brazil-first medicinal screening row; use needs formulation review.,,,,,Digestive bitter,,,,,Well-drained;organic matter,Managed cultivation;part sun to full sun,Cultivated beds;forest edge;secondary vegetation,False,True,True,True,False,False,False,Botanicals_Master,53
BOT-BR-0053,Buriti,buriti,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,"Important palm for food, oil, cosmetics, and regional identity.",,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,54
BOT-BR-0054,Cacau,cacau,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Major commercial crop in Brazil; high agroforestry potential.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,55
BOT-BR-0055,Café arábica,cafe_arabica,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Commodity;Flavor;Stimulant,Green bean;roasted bean,Caffeine;polyphenols,Arabica cultivar screening row for Brazilian highland and subtropical systems.,,,,,Stimulant;commodity beverage,,,,,Well-drained;acidic to slightly acidic,Highland to mild subtropical;managed plantations,Coffee plantation,False,False,True,False,False,False,False,Botanicals_Master,56
BOT-BR-0056,Café arábica — Acaiá Cerrado MG-1474,cafe_arabica_acaia_cerrado_mg_1474,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Cultivar adapted to Cerrado coffee regions.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,57
BOT-BR-0057,Café arábica — Acauã,cafe_arabica_acaua,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Cultivar adapted to warmer and drier regions.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,58
BOT-BR-0058,Café arábica — Arara,cafe_arabica_arara,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,High-productivity cultivar with strong adoption in Sul de Minas and Cerrado Mineiro.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,59
BOT-BR-0059,Café arábica — Araraçu,cafe_arabica_araracu,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Foundation Procafé cultivar derived from Arara with tall habit.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,60
BOT-BR-0060,Café arábica — Bourbon Amarelo,cafe_arabica_bourbon_amarelo,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Classic specialty cultivar with high cup value.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,61
BOT-BR-0061,Café arábica — Catiguá MG2,cafe_arabica_catigua_mg2,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Brazilian arabica cultivar with rust resistance.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,62
BOT-BR-0062,Café arábica — Catuaí Amarelo,cafe_arabica_catuai_amarelo,1,Seed,Autumn;Winter,Secondary only,Roasted beverage;specialty coffee,Yield;Cup quality;Disease package,Green bean;roasted bean,Caffeine;polyphenols,Widely planted Brazilian arabica cultivar.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,False,False,True,False,False,False,False,Botanicals_Master,63
