source_row,botanical_name,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat
12,Thyme,Leaf,Year-round,Secondary only,Tea;Aromatic,Antimicrobial;Respiratory,Fresh;Dried,Carvacrol;Thymol,Very antimicrobial,Kapha-↓,Lung;Stomach,Warm;pungent,Fox;Wren,Antimicrobial;spasmolytic,Respiratory;Warming,Fire;Mars,Rock garden guild,Leaf Day;Waxing,Rocky;Loam,Sun,Walls;gardens
13,Yarrow (basal leaf – winter),Leaf,Dec;Jan,Secondary only,Bitter;Tea,Immune;Digestive,Dried,Flavonoids,Bitter; use lightly,Pitta-↓,Liver;Lung,Cool;Bitter,Wolf;Fox,Immune;digestive,Winter tonics,Air;Mars,Meadow,Leaf/Root Day;Waning,Dry;Meadow,Sun,Meadows
14,Linden (Lime Blossom),Flower,Jun;Jul,Primary OK,Tea;Calm,Nervous system;Heart-calming,Dried;Fresh,Flavonoids;Mucilage,Very gentle European calm herb,Vata-↓;Pitta-↓,Heart;Lung,Cool;Sweet;Aromatic,Swan;Dove,Anxiolytic;mild sedative;antispasmodic,Calm;Night;Heart Calm,Air;Venus;Moon,Big canopy tree,Flower Day;Waxing Moon;Ascending Moon;Moon in Libra,Moist;Rich;Loam,Full Sun;Parks,Streets;parks
15,Mint (Spearmint/Peppermint),Leaf,Jun;Jul;Aug;,Primary OK,Aromatic;Tea,Digestive;Cooling;Mild stimulant,Fresh;Dried;Hydrosol,Vit C;Volatile oils (menthol etc.),Very SCOBY-safe; ideal base for Jun/2F,Pitta-↓;Kapha-↓;Vata-neutral,Lung;Stomach,Cool;Pungent;Aromatic,Monkey;Horse,Carminative;antispasmodic;digestive stimulant,Digestive;Pre/Post-Sport Refresh;Cooling,Air;Mercury,Spreading rhizome herb,Leaf Day;Waxing Moon;Ascending Moon;Moon in Gemini,Moist;Loam;Garden,Full Sun;Partial Shade,Gardens;stream edges;feral patches
16,Sorrel (Garden),Leaf,Apr;May;Jun;Jul;Aug;Sep;,Primary OK,Greens;Tea,Cooling;Mineral support,Fresh;Dried,Vit C;Minerals;Oxalates,Tart lemony; use moderately (oxalates),Pitta-↓;Kapha-↓;Vata-neutral,Liver;Stomach,Cool;Sour;Refreshing,Hare;Deer,Mild digestive;cooling;diuretic,Cooling;Mineral Support;Spring/Summer Greens,Water;Moon,Perennial herb;Good in polycultures,Leaf Day;Waxing Moon;Ascending Moon;Moon in Pisces,Moist;Loam;Rich,Full Sun;Partial Shade,Gardens;meadows;permaculture beds
17,Juniper Berry,Berry/Cone,Sep;Oct;Nov;Dec,Secondary only,Spice;Bitters,Digestive;Kidney,Dried;Crushed,Volatile oils,Strong taste; diuretic,Kapha-↓,Kidney;Lung,Warm;pungent;aromatic,Wolf;Hawk,Antimicrobial;digestive,Bitters;Spice,Fire;Mars,Dry-land pioneer,Seed Day;Waxing,Chalk;Sandy,Sun,Heath;coastal
18,Rowan Berry,Berry,Sep;Oct,Secondary only,Jelly;Ferment,Immune;Anti-inflammatory,Cooked;Frozen,Vit C;Carotenoids,Must be cooked,Kapha-↓,Liver;Lung,Warm;Bitter-sour,Falcon;Fox,Astringent;immune,Immune;Astringent;Autumn,Fire;Mars,Mountain/woodland,Fruit Day;Waning Moon,Acidic;Hill soils,Sun,Upland woods
19,Wild Carrot Root,Root,Jul;Aug,Secondary only,Aromatic;Culinary,Digestive;Diuretic,Fresh;Dried,Vit A;Fiber,Identify carefully (poison hemlock lookalike),Vata-neutral,Kidney;Spleen,Neutral;Sweet-earthy,Deer;Rabbit,Mild digestive,Digestive;Earthy,Earth;Mercury,Meadow,Root Day;Waxing,Loam;Meadow,Sun,Fields
20,Oregano,Leaf,Year-round,Secondary only,Tea;Aromatic,Antimicrobial;Digestive,Fresh;Dried,Carvacrol,Strong flavour,Kapha-↓,Lung;Spleen,Warm;pungent,Bear;Crow,Antimicrobial;digestive,Warm;Winter,Fire;Mars,Mediterranean,Leaf Day;Waxing,Dry;Rocky,Sun,Gardens
21,Raspberry Leaf,Leaf,May;Jun;Jul;,Primary OK,Tea;Tonic,Reproductive support;Tonic;Mild astringent,Dried,Minerals;Tannins,Classic uterine tonic; widely used for menstrual/pregnancy support,Vata-soothing;Pitta-neutral;Kapha-neutral,Uterus (extra-TCM);Liver,Neutral;Slightly bitter;Astringent,Doe;Deer,Uterine tonic;astringent;nutritive,Hormonal/Female;Tonic Teas,Earth;Moon,Hedgerow cane;Fruit support,Leaf Day;Waxing Moon;Ascending Moon;Moon in Cancer,Loam;Rich;Hedgerow,Full Sun;Partial Shade,Hedges;old gardens;edges
22,Burdock Root,Root,Sep;Oct;Nov;Mar,Secondary only,Tea;Decoction;Broth,Blood purifier;Skin,Fresh;Dried,Inulin;Iron,Mild earthy bitterness,Pitta-neutral;Kapha-↓,Liver;Stomach,Neutral;Sweet-bitter,Bear;Bull,Detoxifying;prebiotic,Skin;Detox;Spring,Earth;Saturn,Deep taproot;soil breaker,Root Day;Waning,Deep;Loam,Sun;Partial,Hedgerows
23,Bilberry,Berry,Jun;Jul,Primary OK,Tea;Fruit;Extract,Vision;Vascular,Fresh;Frozen;Dried,Vit C;K;Anthocyanins,Strong anthocyanins,Pitta-neutral,Liver;Kidney,Cool;Astringent,Owl;Fox,Antioxidant;vascular,Vision;Night;Recovery,Water;Jupiter,Moorland berry,Fruit Day;Waning Moon,Acidic;Peaty,Partial Shade,Heath;moor
24,Marshmallow Root,Root,Oct;Nov,Secondary only,Tea;Decoction,Throat;Gut lining;Soothing,Dried;Cold infusion,Mucilage;Calcium,Very soothing mucilage,Vata-↓,Lung;Stomach,Cool;Sweet;Slippery,Swan;Doe,Demulcent;anti-inflammatory,Gut;Throat;Soothe,Water;Moon,Moist beds,Root Day;Waning,Moist;Loam,Sun;Partial,Meadows
25,Chicory Root,Root,Sep;Oct;Nov,Secondary only,Bitter;Coffee alt,Liver;Digestive,Roasted;Dried,Inulin;Potassium,Strong bitter,Pitta-neutral,Liver;Stomach,Warm;Bitter,Goat;Ox,Prebiotic;bitter tonic,Coffee blends;Bitters,Fire;Mercury,Soil improver,Root Day;Waning,Loam;Disturbed,Sun,Roadsides
26,Sage,Leaf,Year-round,Secondary only,Tea;Aromatic,Throat;Antimicrobial,Fresh;Dried,Vit K;Essential oils,Intense; use lightly,Kapha-↓,Lung;Liver,Warm;bitter-pungent,Owl;Hare,Antimicrobial;hormonal,Throat;Women’s,Air;Mercury,Herb spiral,Leaf Day;Waxing,Chalky;Dry,Sun,Gardens
27,Blackberry,Fruit,Aug;Sep,Secondary only,Fruit;Syrup;Ferment,Antioxidant;Blood;Immune,Fresh;Frozen;Juice;Dried,Vit C;K;Anthocyanins,High pectin; tart,Pitta-neutral;Vata-↓,Liver;Kidney,Cool;Sweet-sour;Astringent,Bear;Blackbird,Antioxidant;vascular support,Immune;Sour Blends;Autumn Tonics,Water;Mars,Hedgerow king;Wild bramble,Fruit Day;Waning Moon,Loam;Hedgerow,Partial Shade;Sun,Hedgerows;woodland edges
28,Chickweed,Leaf,Mar;Apr;May;,Primary OK,Greens;Tea,Cooling;Skin support;Mild detox,Fresh;Dried,Vit C;Minerals,Very mild; great raw or as gentle spring tea,Pitta-reducing;Vata-soothing;Kapha-neutral,Lung;Skin,Cool;Mild;Slightly salty,Mouse;Hare,Emollient;anti-inflammatory;soothing,Skin/Topical;Gentle Detox;Spring Cleanse,Water;Moon,Groundcover;Living mulch,Leaf Day;Waning Moon;Descending Moon;Moon in Cancer,Moist Loam;Rich;Garden soil,Partial Shade;Full Sun (cool sites),Gardens;path edges;beds;moist disturbed soil
29,Nettle Root,Root,Oct;Nov,Secondary only,Decoction;Extract,Hormonal (men);Kidney,Dried;Tincture,Minerals;lignans,Use low dose,Kapha-↓;Vata-neutral,Kidney;Liver,Warm;Astringent,Stag;Bull,Prostate support;anti-inflammatory,Hormonal;Men’s,Earth;Mars,Edges;soil improver,Root Day;Descending,Moist;Loam,Partial Sun,Riverbanks
30,Raspberry,Fruit,Jun;Jul;Aug,Primary OK,Fruit;Tea;Ferment,Reproductive;Cooling,Fresh;Dried;Leaf tea,Vit C;Manganese,Leaves also medicinal,Pitta-↓;Vata-↓,Liver;Kidney,Cool;Sweet-tart,Deer;Rabbit,Uterine tonic;anti-inflammatory,Female Health;Cooling;Summer,Water;Venus,Permaculture patch;Cane fruit,Fruit Day;Waxing Moon,Moist;Loam,Full Sun,Edges;gardens
31,Cardamom (imported but allowed),Seed,Year-round,Secondary only,Tea;Aromatic,Digestive;Lung,Whole;Crushed,Manganese,Potent aromatic,Kapha-↓,Lung;Heart,Warm;Sweet-aromatic,Peacock,Carminative;lung-opening,Aromatic;Digestive,Air;Mercury,N/A,Seed Day;Waxing,Rich;Loam,Sun,Not UK native
32,Wood Sorrel,Leaf,Apr;May;Jun;,Primary OK,Greens;Tea,Cooling;Mild digestive,Fresh,Vit C;Oxalates,Sharp lemony taste; use sparingly (oxalates),Pitta-↓;Kapha-↓;Vata-neutral,Liver;Stomach,Cool;Sour;Tangy,Fawn;Hare,Mild digestive stimulant;cooling,Cooling Summer;Light Digestive,Water;Moon,Woodland floor herb,Leaf Day;Waxing Moon;Ascending Moon;Moon in Pisces,Acidic;Woodland loam,Shade;Woodland,Woodland floors;shaded banks
33,Sloe (Blackthorn),Berry,Oct;Nov,Secondary only,Gin;Bitters,Astringent;Digestive,Frozen;Fresh,Tannins,Very astringent,Kapha-↓,Liver;Kidney,Cool;Very astringent,Wolf;Raven,Astringent;digestive,Bitters;Winter;Digestive,Air;Saturn,Hedgerows;wild,Fruit Day;Waning Moon,Chalk;Hedgerow,Sun;Edges,Hedgerows
34,Lemon Balm,Leaf,Jun;Jul;Aug,Primary OK,Tea;Calm,Nervous system;Digestive,Fresh;Dried,Vit C;Terpenes,Mild; safe,Vata-↓;Pitta-↓,Heart;Liver,Cool;Sweet-aromatic,Cat;Butterfly,Calmative;digestive,Calm;Evening,Water;Moon,Bee attractor,Leaf Day;Waxing,Rich;Moist,Partial Shade,Gardens
35,Elderflower,Flower,May;Jun,Primary OK,Tea;Aromatic;Syrup,Immune;Cooling;Respiratory,Fresh;Dried;Hydrosol;Syrup,Vit C;Flavonoids,Classic SCOBY-safe floral,Pitta-↓;Kapha-↓;Vata-neutral,Lung;Wei Qi,Cool;Light;Sweet;Slightly pungent,Rabbit;Hare,Diaphoretic;anti-catarrhal;antiviral tendency,Immune;Cooling Drinks;Respiratory,Air;Moon;Venus,Hedgerow tree;Pollinator attractor,Flower Day;Waxing Moon;Ascending Moon;Moon in Gemini,Loam;Hedgerow;Moist,Partial Shade;Full Sun,Hedges;woodland edges
36,Clover (Red),Flower,Jun;Jul;Aug,Primary OK,Tea;Tonic,Hormonal support;Blood purifier,Fresh;Dried,Isoflavones;Minerals,Slight estrogenic action,Pitta-neutral;Kapha-neutral,Liver;Blood,Cool;Sweet;Neutral,Cow;Doe,Purifying;skin support;phytoestrogen,Hormonal/Female;Skin;Tonic,Air;Venus,Nitrogen fixer;Bee plant,Flower Day;Waxing Moon;Ascending Moon;Moon in Taurus,Moist;Loam,Full Sun;Meadow,Meadows;pastures
37,Sea Buckthorn,Berry,Oct;Nov,Secondary only,Oil;Syrup;Extract,Skin;Vit C;Anti-inflammatory,Juice;Puree;Oil,Vit C;Vit E;Omega oils,Very sharp flavour,Pitta-↓,Liver;Heart,Cool;Very sour,Phoenix;Eagle,Anti-inflammatory;skin,Beauty;Immune;Skin Repair,Fire;Sun,Coastal shrub,Fruit Day;Waxing Moon,Sandy;Coastal,Full Sun,Coast;dunes
38,Gooseberry,Berry,Jun;Jul,Primary OK,Fruit;Ferment,Digestive;Mild laxative,Fresh;Cooked,Vit C;Fiber,Tart; sharp,Pitta-↓,Liver;Stomach,Cool;Sour,Hedgehog;Sparrow,Digestive stimulant,Digestive;Tart;Summer,Water;Mercury,Hedgerow shrub,Fruit Day;Waxing Moon,Loam;Moist,Partial Sun,Edges
39,Elecampane Root,Root,Oct;Nov,Secondary only,Tea;Syrup,Lungs;Respiratory;Expectorant,Fresh;Dried;Syrup,Inulin;Sesquiterpenes,Strong and aromatic,Kapha-↓;Vata-neutral,Lung;Spleen,Warm;Pungent;Aromatic,Ox;Lion,Expectorant;antimicrobial,Respiratory;Winter blends,Fire;Sun,Herbal meadow,Root Day;Waxing,Rich;Loam,Sun,Meadows
40,Sheep Sorrel,Leaf,Apr;May;Jun;,Primary OK,Greens,Mineral-rich;Cooling,Fresh;Dried,Vit C;Minerals;Oxalates,Tart and bright; good accent leaf,Pitta-↓;Kapha-↓;Vata-neutral,Liver;Stomach,Cool;Sour;Herbaceous,Goat;Sheep,Mild diuretic;cooling;mineral source,Cooling;Mineral Support;Spring Greens,Earth;Moon,Poor-soil coloniser,Leaf Day;Waxing Moon;Ascending Moon;Moon in Capricorn,Sandy;Acid;Poor soils,Full Sun,Heath;poor pastures;dry banks
41,Cleavers,Leaf,Mar;Apr;May;,Primary OK,Tea;Tonic,Lymph support;Detox;Diuretic,Fresh;Cold Extract;Dried,Vit C;Minerals,Best as fresh/cold maceration; classic spring cleanser,Pitta-reducing;Kapha-reducing;Vata-neutral,Lymph;Urinary (Bladder);Skin,Cool;Green;Slightly bitter,Deer;Hare,Lymphagogue;diuretic;mild depurative,Lymph/Detox;Skin;Spring Cleanse,Water;Moon,Hedgerow creeper;Living trellis plant,Leaf Day;Waning Moon;Descending Moon;Moon in Pisces,Moist;Hedgerow;Rich,Partial Shade,Hedgerows;ditch lines;fence lines
42,Birch Leaf,Leaf,Apr;May;Jun;,Primary OK,Tea;Tonic,Diuretic;Spring cleanse;Joint support,Fresh;Dried,Minerals;Vit C,Young leaves are used; gentle spring tonic,Pitta-↓;Kapha-↓;Vata-neutral,Kidney;Bladder;Liver,Cool;Slightly bitter;Slightly sweet,Deer;Stag,Diuretic;depurative;mild anti-inflammatory,Liver/Detox;Kidney/Fluid;Joint/Inflammation,Air;Venus,Pioneer tree;Early successional,Leaf Day;Waxing Moon;Ascending Moon;Moon in Libra,Sandy;Loam;Moist,Full Sun;Partial Shade,Woodland edges;boggy ground;parks
43,Elderberry,Berry,Sep;Oct,Secondary only,Syrup;Ferment,Immune;Respiratory,Cooked;Dried;Syrup,Vit C;Anthocyanins,Must be cooked,Kapha-↓;Pitta-neutral,Lung;Kidney,Warm;Sweet-sour,Crow;Raven,Antiviral;immune stimulating,Immune;Winter Tonics,Fire;Saturn,Hedgerow;wild tree,Fruit Day;Waning Moon,Rich;Loam,Partial Sun,Hedgerows
44,Crab Apple,Fruit,Sep;Oct,Secondary only,Jelly;Ferment,Astringent;Digestive,Fresh;Cooked,Vit C;Fiber,Very tart,Pitta-neutral,Liver;Stomach,Cool;Sour,Horse;Bear,Digestive;astringent,Digestive;Autumn,Air;Mercury,Old orchards,Fruit Day;Waning Moon,Loam,Sun,Old orchards
45,Lemon Balm,Leaf,Jun;Jul;Aug;,Primary OK,Tea;Calm,Anti-anxiety;Mood support;Digestive,Fresh;Dried,Vit C;Volatile oils,Superb in evening ferments; gentle and safe,Vata-soothing;Pitta-↓;Kapha-neutral,Heart;Liver,Cool;Aromatic;Slightly sour;Mildly bitter,Rabbit;Sheep,Mild anxiolytic;digestive relaxant,Calm/Nervous;Sleep Support;Light Digestive,Water;Moon,Bee plant;Self-seeding herb,Leaf Day;Waning Moon;Descending Moon;Moon in Cancer,Loam;Garden;Rich,Partial Shade;Full Sun,Herb beds;garden edges
46,Rosehip,Fruit,Sep;Oct;Nov,Secondary only,Syrup;Ferment;Tea,Vit C;Skin;Immune,Fresh;Dried;Powder;Syrup,Very high Vit C,Remove hairs,Pitta-neutral;Vata-↓,Lung;Heart,Warm-neutral;Sweet-tart,Deer;Fox,Antioxidant;immune;skin,Skin;Immune;Brighten,Fire;Venus,Hedgerow rose,Fruit Day;Waxing Moon,Loam;Hedgerow,Sun;Edges,Hedgerows;coastal
47,Pine Needles,Needles,Dec;Jan;Feb,Primary OK,Tea;Infusion,Vit C;Respiratory;Immune,Fresh;Dried,Vit C;Terpenes,Scots pine preferred,Kapha-↓,Lung,Warm;Aromatic;Pungent,Stag;Eagle,Anti-inflammatory;expectorant,Respiratory;Winter,Air;Sun,Evergreen;forest guild,Leaf/Flower Day;Moon in Sagittarius,Sandy;Woodland,Sun,Pine woods
48,Blackcurrant,Berry,Jul;Aug,Primary OK,Tea;Fruit;Extract,Immune;Anti-inflammatory,Fresh;Dried;Juice,Vit C;Anthocyanins,Strong flavour,Pitta-↓,Lung;Liver,Cool;Tart,Crow;Bear,Immune;anti-inflammatory,Immune;Sour;Summer,Water;Saturn,Shrub;hedgerow,Fruit Day;Waxing Moon,Loam;Moist,Sun,Gardens
49,St John’s Wort (flowering tops),Flower,Jun;Jul,Secondary only,Tea;Tincture,Mood;Nerve repair,Fresh;Dried;Oil,Hypericin;Hyperforin,Interaction-heavy herb; careful use,Vata-↓;Pitta-↑;Kapha-neutral,Liver;Heart,Warm;Bitter;Aromatic,Lion;Hawk,Antidepressant;nerve regenerative,Mood;Nerve Repair;Calm,Fire;Sun,Meadow herb,Flower Day;Waxing Moon;Ascending Moon;Moon in Leo,Well-drained,Full Sun,Meadows;roadsides
50,Dandelion Root,Root,Sep;Oct;Nov;Feb;Mar,Secondary only,Bitter;Tea;Digestive,Liver;Detox;Digestion,Dried;Fresh;Decoction,Potassium;Inulin,Classic bitter root,Pitta-↓;Kapha-↓,Liver;Stomach,Warm;Bitter,Goat;Ox,Bitter tonic;liver support,Bitters;Liver;Coffee-alternative,Fire;Jupiter,Pioneer species,Root Day;Waning Moon,Loam;Disturbed,Full Sun,Meadows;lawns
51,Garlic Mustard (Jack-by-the-Hedge),Leaf,Apr;May;,Primary OK,Greens;Aromatic,Digestive;Mild antimicrobial,Fresh,Vit C;Sulphur compounds,Peppery/garlicky; nice in small amounts,Kapha-↓;Vata-↑ slightly;Pitta-↑ if large,Lung;Stomach,Warm;Pungent;Herbaceous,Fox;Weasel,Mild antimicrobial;digestive stimulant,Savoury Greens;Spring Cleanse,Fire;Mars,Biennial;Hedgerow herb,Leaf Day;Waxing Moon;Ascending Moon;Moon in Aries,Moist;Hedgerow;Loam,Partial Shade,Hedges;woodland edges;banks
52,Cornflower,Flower,Jun;Jul;Aug,Primary OK,Tea;Colouring,Mild digestive;Eye support,Dried,Trace minerals,Mostly aesthetic; safe floral,Vata-neutral;Pitta-neutral,Liver;Heart,Cool;Astringent;Neutral,Peacock;Swan,Mild astringent;anti-inflammatory,Beauty;Aesthetic;Light Digestive,Air;Venus,Meadow flower,Flower Day;Waxing Moon;Ascending Moon;Moon in Libra,Light;Meadow soils,Full Sun,Meadows;wildflower mixes
53,Calendula,Flower,Jun;Jul;Aug;Sep,Primary OK,Tea;Topical,Skin healing;Digestive,Fresh;Dried;Oil,Carotenoids;Resins,Classic wound & skin herb,Pitta-neutral;Kapha-↓,Liver;Heart,Warm;Bitter-sweet;Resinous,Lion;Ram,Vulnerary;anti-inflammatory;digestive,Skin;Digestive;Beauty,Fire;Sun,Pollinator;Companion plant,Flower Day;Waxing Moon;Ascending Moon;Moon in Leo,Rich;Garden soil,Full Sun,Herb beds;gardens
54,Dandelion Leaf,Leaf,Mar;Apr;May;Sep;Oct;,Primary OK,Tea;Bitter;Greens,Liver support;Diuretic;Mineral support,Fresh;Dried,Potassium;Minerals;Vit A,Young leaves in spring/autumn best; older very bitter,Pitta-↓;Kapha-↓;Vata-drying if overused,Liver;Bladder,Cool;Bitter;Slightly salty,Goat;Monkey,Diuretic;cholagogue;mineral tonic,Liver/Detox;Kidney/Fluid;Light Bitters,Air;Jupiter,Lawn pioneer;Soil breaker,Leaf Day;Waning Moon;Ascending Moon;Moon in Aquarius,Almost any;Lawn;Disturbed,Full Sun,Lawns;verges;meadows;everywhere
55,Ground Ivy,Leaf,Mar;Apr;May;Sep;Oct;Dec,Secondary only,Aromatic,Respiratory;Digestive,Fresh;Dried,Trace minerals,Strong aromatic,Kapha-↓,Lung;Liver,Warm;Astringent,Fox;Hare,Expectorant;astringent,Respiratory;Old-world,Air;Mercury,Woodland edge,Leaf Day;Waning,Loam;Moist,Partial Shade,Wood edges
56,Mullein Leaf,Leaf,Jul;Aug;Sep;Oct;,Primary OK,Tea,Respiratory;Soothing;Expectorant,Dried,Mucilage;Saponins;Minerals,Strain well (hairy leaves); classic lung herb,Vata-soothing;Kapha-↓;Pitta-neutral,Lung;Large Intestine,Neutral;Slightly warm;Bland,Bear;Owl,Demulcent;expectorant;anti-inflammatory,Respiratory;Winter Teas;Smoke Recovery,Air;Saturn,Tall biennial;Dry slopes,Leaf Day;Waning Moon;Descending Moon;Moon in Aquarius,Dry;Gravel;Poor soils,Full Sun,Dry banks;waste ground;fields edges
57,Hawthorn Berry,Fruit,Sep;Oct,Secondary only,Tea;Tincture,Heart;Circulation,Fresh;Dried;Tincture,Flavonoids,Classic heart tonic,Vata-↓;Pitta-neutral,Heart;Liver,Neutral;Sweet-bitter,Stag;Hawk,Cardioprotective,Heart;Circulation;Calm,Air;Sun,Hedgerow tree,Fruit Day;Waning Moon,Chalk;Loam,Partial Sun,Hedges;woods
58,Hawthorn Leaf & Blossom,Leaf/Flower,Apr;May,Primary OK,Tea;Heart,Heart;Calm,Fresh;Dried,Flavonoids,Gentle cardiovascular,Vata-↓,Heart;Liver,Cool;Sweet,Eagle;Stag,Mild cardiotonic,Calm;Heart,Air;Sun,Hedgerow,Flower Day;Waxing,Loam;Chalk,Sun,Hedgerows
59,Ground Elder (young leaf),Leaf,Apr;May;,Primary OK,Greens,Nutritive;Spring veg,Fresh;Cooked,Minerals;Vit C,Young leaves edible; treat as spinach-like weed,Kapha-↑ if heavy;Vata-grounding;Pitta-neutral,Spleen;Stomach,Neutral;Green;Mild,Goat;Pig,Nutritive;leafy green food,Spring Greens;Foraged Food,Earth;Moon,Invasive groundcover;Shady guild plant,Leaf Day;Waxing Moon;Ascending Moon;Moon in Taurus,Moist;Rich;Garden soils,Shade;Partial Shade,Old gardens;shaded beds;hedgerows
60,Spruce Tips,Needles/Tips,Apr;May,Primary OK,Tea;Syrup,Immune;Respiratory,Fresh;Syrup,Vit C;Resins,Very high vitamin C,Kapha-↓,Lung,Cool;Resinous;Sharp,Fox;Stag,Antimicrobial;immune,Spring;Respiratory,Air;Mercury,Boreal guild,Flower/Leaf Day;Waxing Moon,Acidic;Loam,Sun,Spruce forests
61,Nettle Leaf,Leaf,Mar;Apr;May;,Primary OK,Tea;Nutrient;Tonic,Detox;Blood-building;Anti-inflammatory;Energy,Dried;Cold Extract;Fresh,Iron;Calcium;Magnesium;Silica;Vit C;Vit K,Use young leaves; very good base herb,Vata-grounding;Pitta-slightly ↑;Kapha-↓,Liver;Kidney;Blood,Slightly warm;Green;Slightly bitter;Slightly salty,Ox;Dragon,Nutrient-dense tonic;diuretic;anti-inflammatory;antihistamine tendency,Liver/Detox;Blood-Building;Post-Sport Recovery;General Tonic;Mineral Support,Earth;Mars;Saturn,Dynamic accumulator;Edge species;Soil improver,Leaf Day;Waxing Moon;Ascending Moon;Moon in Taurus;Moon in Virgo,Loam;Clay;Rich;Disturbed Ground,Full Sun;Partial Shade,Field edges;hedges;disturbed soil;garden edges
