product_id,product_name,catalogue_line_guess,fermentation_family_guess,format_label,function_label,core_base,protocols_used,botanicals_used,live_status,intended_use,strength_level,shelf_stability,development_status,notes,source_table,source_row
PROD-BR-00013,Abacaxi — BRS Ajubá — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,General,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,General,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,12
PROD-BR-00014,Abacaxi — BRS Ajubá — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,13
PROD-BR-00015,Abacaxi — BRS Ajubá — Jam / Preserve,Pantry,,Jam / Preserve,General,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,General,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,14
PROD-BR-00016,Abacaxi — BRS Ajubá — Juice / Nectar,Beverage,,Juice / Nectar,Beverage,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,15
PROD-BR-00019,Abacaxi — BRS Imperial — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,16
PROD-BR-00020,Abacaxi — BRS Imperial — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,17
PROD-BR-00021,Abacaxi — BRS Imperial — Fresh Produce,Fresh / Raw,,Fresh Produce,Premium; Fresh market,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium; Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,18
PROD-BR-00022,Abacaxi — BRS Imperial — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,Premium,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,19
PROD-BR-00023,Abacaxi — BRS Imperial — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,20
PROD-BR-00024,Abacaxi — BRS Imperial — Jam / Preserve,Pantry,,Jam / Preserve,Premium,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,21
PROD-BR-00025,Abacaxi — BRS Imperial — Juice / Nectar,Beverage,,Juice / Nectar,Premium; Beverage,Abacaxi — BRS Imperial,,Abacaxi — BRS Imperial,,Premium; Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,22
PROD-BR-00028,Abacaxi — BRS Vitória — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,23
PROD-BR-00029,Abacaxi — BRS Vitória — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,24
PROD-BR-00030,Abacaxi — BRS Vitória — Fresh Produce,Fresh / Raw,,Fresh Produce,Premium; Fresh market,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium; Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,25
PROD-BR-00031,Abacaxi — BRS Vitória — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,Premium,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,26
PROD-BR-00032,Abacaxi — BRS Vitória — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,27
PROD-BR-00033,Abacaxi — BRS Vitória — Jam / Preserve,Pantry,,Jam / Preserve,Premium,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,28
PROD-BR-00034,Abacaxi — BRS Vitória — Juice / Nectar,Beverage,,Juice / Nectar,Premium; Beverage,Abacaxi — BRS Vitória,,Abacaxi — BRS Vitória,,Premium; Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,Products,29
PROD-BR-00037,Abacaxi — MD-2 — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,30
PROD-BR-00038,Abacaxi — MD-2 — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,31
PROD-BR-00039,Abacaxi — MD-2 — Fresh Produce,Fresh / Raw,,Fresh Produce,Premium; Fresh market,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium; Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,32
PROD-BR-00040,Abacaxi — MD-2 — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,Premium,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,33
PROD-BR-00041,Abacaxi — MD-2 — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,34
PROD-BR-00042,Abacaxi — MD-2 — Jam / Preserve,Pantry,,Jam / Preserve,Premium,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,35
PROD-BR-00043,Abacaxi — MD-2 — Juice / Nectar,Beverage,,Juice / Nectar,Premium; Beverage,Abacaxi — MD-2,,Abacaxi — MD-2,,Premium; Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Modern fresh-market pineapple cultivar also cultivated in Brazil.,Products,36
PROD-BR-00046,Abacaxi — Pérola — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,37
PROD-BR-00047,Abacaxi — Pérola — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,38
PROD-BR-00048,Abacaxi — Pérola — Fresh Produce,Fresh / Raw,,Fresh Produce,Premium; Fresh market,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium; Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,39
PROD-BR-00049,Abacaxi — Pérola — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,Premium,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,40
PROD-BR-00050,Abacaxi — Pérola — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,41
PROD-BR-00051,Abacaxi — Pérola — Jam / Preserve,Pantry,,Jam / Preserve,Premium,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,42
PROD-BR-00052,Abacaxi — Pérola — Juice / Nectar,Beverage,,Juice / Nectar,Premium; Beverage,Abacaxi — Pérola,,Abacaxi — Pérola,,Premium; Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional Brazilian pineapple cultivar with strong domestic recognition.,Products,43
PROD-BR-00055,Abacaxi — Smooth Cayenne — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,44
PROD-BR-00056,Abacaxi — Smooth Cayenne — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,45
PROD-BR-00057,Abacaxi — Smooth Cayenne — Fresh Produce,Fresh / Raw,,Fresh Produce,Fresh market,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,46
PROD-BR-00058,Abacaxi — Smooth Cayenne — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,General,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,General,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,47
PROD-BR-00059,Abacaxi — Smooth Cayenne — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,48
PROD-BR-00060,Abacaxi — Smooth Cayenne — Jam / Preserve,Pantry,,Jam / Preserve,General,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,General,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,49
PROD-BR-00061,Abacaxi — Smooth Cayenne — Juice / Nectar,Beverage,,Juice / Nectar,Beverage,Abacaxi — Smooth Cayenne,,Abacaxi — Smooth Cayenne,,Beverage,Direct,,Concept,Evidence Basis: Juice cue in use | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Traditional international cultivar present in Brazil.,Products,50
