root_profile_id,botanical_entry_id,root_form,root_depth_class,root_spread_class,root_aggression,root_depth_min_m,root_depth_max_m,root_architecture_type,root_depth_category,excavation_sensitivity,root_competition_intensity,container_root_behavior,waterlogging_tolerance,notes,source_table,source_row
ROOT-BOT-BR-0155,BOT-BR-0155,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,38451
ROOT-BOT-BR-0156,BOT-BR-0156,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,101616
ROOT-BOT-BR-0157,BOT-BR-0157,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15407
ROOT-BOT-BR-0158,BOT-BR-0158,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,101473
ROOT-BOT-BR-0159,BOT-BR-0159,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,101479
ROOT-BOT-BR-0160,BOT-BR-0160,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15408
ROOT-BOT-BR-0161,BOT-BR-0161,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15409
ROOT-BOT-BR-0162,BOT-BR-0162,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,124397
ROOT-BOT-BR-0163,BOT-BR-0163,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,124398
ROOT-BOT-BR-0164,BOT-BR-0164,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,112500
ROOT-BOT-BR-0165,BOT-BR-0165,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,110196
ROOT-BOT-BR-0166,BOT-BR-0166,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,110258
ROOT-BOT-BR-0167,BOT-BR-0167,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4913
ROOT-BOT-BR-0168,BOT-BR-0168,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4966
ROOT-BOT-BR-0169,BOT-BR-0169,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4090
ROOT-BOT-BR-0170,BOT-BR-0170,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4092
ROOT-BOT-BR-0171,BOT-BR-0171,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4102
ROOT-BOT-BR-0172,BOT-BR-0172,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,4103
ROOT-BOT-BR-0173,BOT-BR-0173,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,290519
ROOT-BOT-BR-0174,BOT-BR-0174,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103058
ROOT-BOT-BR-0175,BOT-BR-0175,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103059
ROOT-BOT-BR-0176,BOT-BR-0176,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,18095
ROOT-BOT-BR-0177,BOT-BR-0177,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,29457
ROOT-BOT-BR-0178,BOT-BR-0178,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,29485
ROOT-BOT-BR-0179,BOT-BR-0179,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,126840
ROOT-BOT-BR-0180,BOT-BR-0180,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,26586
ROOT-BOT-BR-0181,BOT-BR-0181,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15751
ROOT-BOT-BR-0182,BOT-BR-0182,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,26587
ROOT-BOT-BR-0183,BOT-BR-0183,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103027
ROOT-BOT-BR-0184,BOT-BR-0184,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,80576
ROOT-BOT-BR-0185,BOT-BR-0185,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103028
ROOT-BOT-BR-0186,BOT-BR-0186,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,26592
ROOT-BOT-BR-0187,BOT-BR-0187,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15756
ROOT-BOT-BR-0188,BOT-BR-0188,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,77934
ROOT-BOT-BR-0189,BOT-BR-0189,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,26600
ROOT-BOT-BR-0190,BOT-BR-0190,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15760
ROOT-BOT-BR-0191,BOT-BR-0191,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103038
ROOT-BOT-BR-0192,BOT-BR-0192,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,25201
ROOT-BOT-BR-0193,BOT-BR-0193,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15762
ROOT-BOT-BR-0194,BOT-BR-0194,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,80583
ROOT-BOT-BR-0195,BOT-BR-0195,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103040
ROOT-BOT-BR-0196,BOT-BR-0196,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15764
ROOT-BOT-BR-0197,BOT-BR-0197,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15767
ROOT-BOT-BR-0198,BOT-BR-0198,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,26605
ROOT-BOT-BR-0199,BOT-BR-0199,shallow_water_capture,shallow,moderate,low,0.05,0.3,shallow_water_capture,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,1416
ROOT-BOT-BR-0200,BOT-BR-0200,woody_branching,medium_to_deep,wide,medium,0.5,1.5,woody_branching,medium_to_deep,,medium_high,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,25124
ROOT-BOT-BR-0201,BOT-BR-0201,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,33985
ROOT-BOT-BR-0202,BOT-BR-0202,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,43612
ROOT-BOT-BR-0203,BOT-BR-0203,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,33989
ROOT-BOT-BR-0204,BOT-BR-0204,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15679
ROOT-BOT-BR-0205,BOT-BR-0205,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15683
ROOT-BOT-BR-0206,BOT-BR-0206,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15685
ROOT-BOT-BR-0207,BOT-BR-0207,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,25192
ROOT-BOT-BR-0208,BOT-BR-0208,fibrous_branching,shallow_to_medium,moderate,low,0.1,0.6,fibrous_branching,shallow_to_medium,,low_to_medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,103998
ROOT-BOT-BR-0209,BOT-BR-0209,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,102216
ROOT-BOT-BR-0210,BOT-BR-0210,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,286359
ROOT-BOT-BR-0211,BOT-BR-0211,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5159
ROOT-BOT-BR-0212,BOT-BR-0212,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5161
ROOT-BOT-BR-0213,BOT-BR-0213,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,102218
ROOT-BOT-BR-0214,BOT-BR-0214,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5163
ROOT-BOT-BR-0215,BOT-BR-0215,fibrous_branching,shallow_to_medium,moderate,low,0.1,0.6,fibrous_branching,shallow_to_medium,,low_to_medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,104367
ROOT-BOT-BR-0216,BOT-BR-0216,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5181
ROOT-BOT-BR-0217,BOT-BR-0217,fibrous_branching,shallow_to_medium,moderate,low,0.1,0.6,fibrous_branching,shallow_to_medium,,low_to_medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,104311
ROOT-BOT-BR-0218,BOT-BR-0218,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5195
ROOT-BOT-BR-0219,BOT-BR-0219,fibrous_branching,shallow_to_medium,moderate,low,0.1,0.6,fibrous_branching,shallow_to_medium,,low_to_medium,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5198
ROOT-BOT-BR-0220,BOT-BR-0220,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,5213
