zone_profile_id,botanical_entry_id,branch_id,country,region,zone,microclimate_tags,production_mode,growth_habit,forest_garden_layer,guild_roles,light_preference,flood_tolerance,salinity_tolerance,heat_tolerance,fire_tolerance,harvest_window_brazil,propagation_methods,conservation_status,notes,source_table,source_row
BRWM-00014,BOT-BR-0005,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,15
BRWM-00015,BOT-BR-0005,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,16
BRWM-00016,BOT-BR-0006,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,17
BRWM-00017,BOT-BR-0006,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,18
BRWM-00018,BOT-BR-0006,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,19
BRWM-00019,BOT-BR-0007,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,20
BRWM-00020,BOT-BR-0007,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,21
BRWM-00021,BOT-BR-0007,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,22
BRWM-00022,BOT-BR-0008,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,23
BRWM-00023,BOT-BR-0008,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,24
BRWM-00024,BOT-BR-0008,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,25
BRWM-00025,BOT-BR-0009,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,26
BRWM-00026,BOT-BR-0009,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,27
BRWM-00027,BOT-BR-0009,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;irrigated or managed dryland,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,28
BRWM-00028,BOT-BR-0010,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,29
BRWM-00029,BOT-BR-0010,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,30
BRWM-00030,BOT-BR-0010,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,31
BRWM-00031,BOT-BR-0011,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,32
BRWM-00032,BOT-BR-0011,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,33
BRWM-00033,BOT-BR-0011,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,34
BRWM-00034,BOT-BR-0012,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,35
BRWM-00035,BOT-BR-0012,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,36
BRWM-00036,BOT-BR-0012,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,37
BRWM-00037,BOT-BR-0013,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,38
BRWM-00038,BOT-BR-0013,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,39
BRWM-00039,BOT-BR-0013,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,40
BRWM-00040,BOT-BR-0014,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,41
BRWM-00041,BOT-BR-0014,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,42
BRWM-00042,BOT-BR-0014,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,43
BRWM-00043,BOT-BR-0015,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,44
BRWM-00044,BOT-BR-0015,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,45
BRWM-00045,BOT-BR-0015,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,46
BRWM-00046,BOT-BR-0016,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,47
BRWM-00047,BOT-BR-0016,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,48
BRWM-00048,BOT-BR-0016,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,49
BRWM-00049,BOT-BR-0017,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,50
BRWM-00050,BOT-BR-0017,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,51
BRWM-00051,BOT-BR-0017,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,52
BRWM-00052,BOT-BR-0018,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,53
BRWM-00053,BOT-BR-0018,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,54
BRWM-00054,BOT-BR-0018,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;managed irrigation increases output,Cultivated orchard,Shrub / small tree,Shrub,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,55
BRWM-00055,BOT-BR-0019,branch_brazil,Brazil,North,Nationwide managed herbs,full sun;warm humid,Cultivated herb bed,Herb,Herbaceous,medicinal,,,,,,,,Not reviewed,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,56
BRWM-00056,BOT-BR-0019,branch_brazil,Brazil,Northeast,Nationwide managed herbs,full sun;warm humid,Cultivated herb bed,Herb,Herbaceous,medicinal,,,,,,,,Not reviewed,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,57
BRWM-00057,BOT-BR-0019,branch_brazil,Brazil,Southeast,Nationwide managed herbs,full sun;warm humid,Cultivated herb bed,Herb,Herbaceous,medicinal,,,,,,,,Not reviewed,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=unresolved; biome_basis=unresolved; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,58
BRWM-00058,BOT-BR-0020,branch_brazil,Brazil,Northeast,Northeast Semiarid,dry forest;well-drained,Managed medicinal crop,Tree,Canopy,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,yes,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Caatinga; biome_basis=caatinga; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,59
BRWM-00059,BOT-BR-0020,branch_brazil,Brazil,Central-West,Central-West Cerrado Seasonal,dry forest;well-drained,Managed medicinal crop,Tree,Canopy,fruit_producer;medicinal;structural,full sun,low,low,high,very low,regional / variable,seed;cutting_limited;graft;tissue_culture_limited,yes,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Caatinga|Cerrado; biome_basis=caatinga|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,60
